,Code,Number of Courses,,,,SUM
0,"['ANTH', '29920']",129,,,,4944
1,"['ARCH', '29600']",59,,,,
2,"['ARTH', '29943']",103,,,,
3,"['ASTR', '29900']",30,,,,
4,,0,,,,
5,"['BIOS', '00299']",140,,,,
6,"['CHEM', '39100']",68,,,,
7,"['CMST', '29900']",78,,,,
8,"['LATN', '29700']",91,,,,
9,"['COGS', '25000']",20,,,,
10,"['CHDV', '29900']",51,,,,
11,"['CMLT', '29947']",80,,,,
12,,0,,,,
13,"['MACS', '27000']",17,,,,
14,"['CMSC', '29900']",86,,,,
15,"['CRWR', '29500']",96,,,,
16,,0,,,,
17,"['DATA', '27751']",23,,,,
18,"['DEMS', '28050']",15,,,,
19,"['DIGS', '26021']",12,,,,
20,"['EALC', '29980']",160,,,,
21,"['ECON', '29800']",242,,,,
22,,0,,,,
23,"['ENGL', '29900']",153,,,,
24,"['ENSC', '29800']",21,,,,
25,"['ENST', '29802']",122,,,,
26,"['CEGU', '29802']",98,,,,
27,"['FNDL', '29947']",81,,,,
28,"['GNSE', '29900']",144,,,,
29,"['GISC', '29000']",22,,,,
30,"['GEOS', '29700']",42,,,,
31,"['GRMN', '29900']",36,,,,
32,"['GLST', '29998']",86,,,,
33,,0,,,,
34,"['HIST', '25904']",185,,,,
35,"['HIPS', '29900']",88,,,,
36,"['HMRT', '29861']",72,,,,
37,"['PBPL', '28501']",38,,,,
38,"['IRHU', '29800']",9,,,,
39,"['JWSC', '29920']",45,,,,
40,"['LACS', '29900']",76,,,,
41,"['LLSO', '29911']",48,,,,
42,"['SWAH', '28355']",73,,,,
43,"['MATH', '29700']",68,,,,
44,"['MAAD', '29700']",101,,,,
45,"['MDVL', '35418']",63,,,,
46,"['MENG', '29700']",65,,,,
47,"['MUSI', '29900']",81,,,,
48,"['UZBK', '29700']",252,,,,
49,"['NSCI', '29700']",53,,,,
50,"['NORW', '29700']",7,,,,
51,"['PHIL', '29902']",45,,,,
52,"['PHYS', '29700']",29,,,,
53,"['PLSC', '29901']",76,,,,
54,"['PSYC', '29800']",62,,,,
55,"['PBPL', '29900']",107,,,,
56,,0,,,,
57,"['RDIN', '29900']",63,,,,
58,"['RLST', '29900']",129,,,,
59,,0,,,,
60,"['SPAN', '29901']",323,,,,
61,"['REES', '29976']",113,,,,
62,"['SCPD', '26900']",10,,,,
63,"['SOCI', '29998']",45,,,,
64,"['UZBK', '29700']",132,,,,
65,"['STAT', '29900']",46,,,,
66,"['TAPS', '32312']",52,,,,
67,"['ARTV', '29900']",78,,,,
68,"['YDDH', '21721']",5,,,,
